"ID_UNIDADE_OPERACIONAL","NM_UNIDADE_OPERACIONAL","ID_ENTIDADE","DS_COMPLEMENTO","CD_OPERACIONAL","ID_UNIDADE_OPERACIONAL_PAI","FL_CRIACAO_BO","FL_CRIACAO_BOF","FL_CRIACAO_BOI","FL_CRIACAO_IP","FL_TREINAMENTO","ID_PONTO_REFERENCIA"
4236,PRESÍDIO DE SALGUEIRO - PSAL,16,,PSAL,,N,N,N,N,N,
4237,PRESÍDIO DE SANTA CRUZ DO CAPIBARIBE - PSC,16,,PSC,,N,N,N,N,N,
4240,PRESÍDIO FREI DAMIÃO DE BOZZANO - PFDB,16,,PFDB,,N,N,N,N,N,
4241,PRESÍDIO JUIZ ANTÔNIO LUIZ LINS DE BARROS - PJALLB,16,,PJALLB,,N,N,N,N,N,
4242,PRESÍDIO RORINILDO DA ROCHA LEÃO - PRRL,16,,PRRL,,N,N,N,N,N,
4244,PRESÍDIO DE ITAQUITINGA - PIT,16,,PIT,,N,N,N,N,N,
4247,CADEIA PÚBLICA DE AGRESTINA,16,,CP - AGRESTINA,,N,N,N,N,N,
4248,CADEIA PÚBLICA DE ALIANÇA,16,,CP - ALIANÇA,,N,N,N,N,N,
4258,CADEIA PÚBLICA DE CAPOEIRAS,16,,CP - CAPOEIRAS,,N,N,N,N,N,
4259,CADEIA PÚBLICA DE CARNAÍBA,16,,CP - CARNAÍBA,,N,N,N,N,N,
4260,CADEIA PÚBLICA DE CARPINA,16,,CP - CARPINA,,N,N,N,N,N,
4261,CADEIA PÚBLICA DE CUSTÓDIA,16,,CP - CUSTÓDIA,,N,N,N,N,N,
4262,CADEIA PÚBLICA DE ESCADA,16,,CP - ESCADA,,N,N,N,N,N,
4264,CADEIA PÚBLICA DE FLORES,16,,CP - FLORES,,N,N,N,N,N,
4321,POLICIA CIVIL DO ESTADO DO PARANA,55,,PCPR,,N,N,N,N,N,
4329,POLICIA CIVIL DO ESTADO DO TOCANTINS,75,,PCTO,,N,N,N,N,N,
4392,"4º. BIESP - 3º BATALHÃO INTEGRADO ESPECIALIZADO DE POLICIAMENTO - BARREIROS",2,,"4º.BIESP",,N,S,N,N,N,
4373,DPMUL - 17ª DELEGACIA DE POLÍCIA DA MULHER - 17ª DEAM ARCOVERDE,1,,"17ª DEAM",4112,S,S,N,N,N,
4377,DELEGACIA DE REPRESSAO A INTOLERANCIA ESPORTIVA - DPRIE (UNIDADE MOVEL - ILHA DO RETIRO),1,,DPRIE - UNIDADE MOVEL - ILHA DO RETIRO,2173,S,N,N,N,N,
4149,"25º. BPM - 25º BATALHÃO DE POLÍCIA MILITAR ",2,,"25ºBPM",4118,S,S,N,N,N,
4150,"DINTER2 - 23ª DELEGACIA DE POLÍCIA DE HOMICÍDIOS - ARCOVERDE, DA 23A DPH-SERTÃO",1,,DINTER2 - 23ª DPH - ARCOVERDE,4117,S,N,N,N,N,
4151,"DINTER2 - 24ª DELEGACIA DE POLÍCIA DE HOMICÍDIOS - ARARIPINA, DA 24A DPH-SERTÃO",1,,DINTER2 - 24ª DPH - ARCOVERDE,4117,S,N,N,N,N,
